#字頭	聲母	韻母	陰陽	四聲	小韻	釋義
先	心	先	陰	平	先	前進又始也
𥑻	心	先	陰	平	先	玉次石
仙	心	先	陰	平	先	神仙
僊	心	先	陰	平	先	同上【仙】（神仙）
褼	心	先	陰	平	先	褊褼衣貌
鮮	心	先	陰	平	先	新鮮
天	透	先	陰	平	天	積陽氣而上浮者也
䒶	透	先	陰	平	天	古文天字
靝	透	先	陰	平	天	古文天字
千	清	先	陰	平	千	十百曰千
躚	清	先	陰	平	千	蹁躚
芊	清	先	陰	平	千	草盛貌
阡	清	先	陰	平	千	田箕也南北曰阡東西曰陌
韆	清	先	陰	平	千	鞦韆
遷	清	先	陰	平	千	移徙
迁	清	先	陰	平	千	同上【遷】（移徙）
邊	幫	先	陰	平	邊	旁邊
蝙	幫	先	陰	平	邊	蝙蝠
籩	幫	先	陰	平	邊	籩豆盛黍稷之器
𩽲	幫	先	陰	平	邊	魚名
鞭	幫	先	陰	平	邊	馬鞭
編	幫	先	陰	平	邊	簡編
緶	幫	先	陰	平	邊	縫衣曰緶又網巾緶
箯	幫	先	陰	平	邊	竹輿曰箯
辮	幫	先	陰	平	邊	辮髮
篇	滂	先	陰	平	篇	書篇
偏	滂	先	陰	平	篇	不正也
翩	滂	先	陰	平	篇	翩翻又疾飛也
扁	滂	先	陰	平	篇	小舟也
艑	滂	先	陰	平	篇	艑艖舟名也
堅	見	先	陰	平	堅	實也
肩	見	先	陰	平	堅	膊肩
鵳	見	先	陰	平	堅	雁也
鈃	見	先	陰	平	堅	似鐘而頸長
豣	見	先	陰	平	堅	三歳豕
犍	見	先	陰	平	堅	犍牛
枅	見	先	陰	平	堅	木名
幵	見	先	陰	平	堅	姓
汧	見	先	陰	平	堅	汧渭秦地也
煙	以	先	陰	平	煙	煙霧火煙
烟	以	先	陰	平	煙	同上【煙】（煙霧火煙）
胭	以	先	陰	平	煙	胭脂
臙	以	先	陰	平	煙	同上【胭】（胭脂）
燕	以	先	陰	平	煙	國名
鄢	以	先	陰	平	煙	姓
嫣	以	先	陰	平	煙	笑貌
蔫	以	先	陰	平	煙	物不鮮也
歅	以	先	陰	平	煙	九方歅善相馬者即九方臯也
焉	以	先	陰	平	煙	何也
旃	照	先	陰	平	旃	通白之器又解曰之
氊	照	先	陰	平	旃	以毛爲物曰氊
毡	照	先	陰	平	旃	同上【氊】（以毛爲物曰氊）
饘	照	先	陰	平	旃	粥也
飦	照	先	陰	平	旃	同上【饘】（粥也）
鸇	照	先	陰	平	旃	食雀之鳥
鱣	照	先	陰	平	旃	魚名
羶	照	先	陰	平	旃	腥羶羊脂也
驙	照	先	陰	平	旃	馬載貌
儃	照	先	陰	平	旃	態也又回不進也
邅	照	先	陰	平	旃	迍邅
顫	照	先	陰	平	旃	四肢奏掉曰顫
愆	曉	先	陰	平	愆	過失也
諐	曉	先	陰	平	愆	同上【愆】（過失也）
牽	曉	先	陰	平	愆	連也引也
騫	曉	先	陰	平	愆	姓
搴	曉	先	陰	平	愆	拔取也
褰	曉	先	陰	平	愆	揭衣曰褰
軒	曉	先	陰	平	愆	廂也窓也又車之前後也
掀	曉	先	陰	平	愆	以手髙舉
箋	精	先	陰	平	箋	簡牒
戔	精	先	陰	平	箋	戔戔淺少之貌
籛	精	先	陰	平	箋	彭祖姓
綫	精	先	陰	平	箋	一綫言微也
煎	精	先	陰	平	箋	熬煎
諓	精	先	陰	平	箋	巧言也
湔	精	先	陰	平	箋	湔洗
顛	端	先	陰	平	顛	顛狂顛仆
巔	端	先	陰	平	顛	巓山頂也
𩥄	端	先	陰	平	顛	馬白額
蹎	端	先	陰	平	顛	跋也
填	端	先	陰	平	顛	病也詩哀我填寡音臣詩孔填不寧
瘨	端	先	陰	平	顛	疾也
滇	端	先	陰	平	顛	地名又姓
言	日	先	陽	平	言	說話也
然	日	先	陽	平	言	是也又轉語詞
燃	日	先	陽	平	言	火燒物曰燃
姸	日	先	陽	平	言	美貌曰姸
硏	日	先	陽	平	言	究也磨也
趼	日	先	陽	平	言	平也
焉	日	先	陽	平	言	語助詞
撚	日	先	陽	平	言	以手析物
眠	明	先	陽	平	眠	睡也
綿	明	先	陽	平	眠	作布者精曰綿粗曰絮
緡	明	先	陽	平	眠	緡蠻鳥聲又音分錢貫也
緜	明	先	陽	平	眠	古緜字
賢	以	先	陽	平	賢	有德之稱
延	以	先	陽	平	賢	延長延緩又延請
筵	以	先	陽	平	賢	几席也
郔	以	先	陽	平	賢	鄭國地名
䀽	以	先	陽	平	賢	視也
埏	以	先	陽	平	賢	八埏地之八際也
梴	以	先	陽	平	賢	木名
弦	以	先	陽	平	賢	弓弦
絃	以	先	陽	平	賢	琴絃
鉉	以	先	陽	平	賢	鼎耳
舷	以	先	陽	平	賢	舟名
蚿	以	先	陽	平	賢	蟲名
田	透	先	陽	平	田	土已耕曰田
畋	透	先	陽	平	田	畋獵
塡	透	先	陽	平	田	塞也又鼓聲
磌	透	先	陽	平	田	石落貌
闐	透	先	陽	平	田	盛貌又鼓聲
鈿	透	先	陽	平	田	金首飾
連	來	先	陽	平	連	接續也又合也
漣	來	先	陽	平	連	詩泣涕漣漣
蓮	來	先	陽	平	連	蓮花
鰱	來	先	陽	平	連	魚名
憐	來	先	陽	平	連	憐恤
怜	來	先	陽	平	連	同上【憐】（憐恤）
廛	穿	先	陽	平	廛	市宅
躔	穿	先	陽	平	廛	踐蹈也又星辰躔度
纏	穿	先	陽	平	廛	牽纏
乾	溪	先	陽	平	乾	卦名又乾惕
虔	溪	先	陽	平	乾	虔誠
騝	溪	先	陽	平	乾	馬之黃脊者
揵	溪	先	陽	平	乾	舉也
禪	審	先	陽	平	禪	禪師
蟬	審	先	陽	平	禪	蟲名沙蟲
嬋	審	先	陽	平	禪	嬋娟美好貌
澶	審	先	陽	平	禪	澶淵又音憚
單	審	先	陽	平	禪	單于匈奴號也
前	清	先	陽	平	前	前後
錢	清	先	陽	平	前	錢十分爲錢
𡭔	清	先	陽	平	前	同上【錢】（錢十分爲錢）
年	泥	先	陽	平	年	年歲
秊	泥	先	陽	平	年	同上【年】（年歲）
涎	心	先	陽	平	涎	秀延切口中液也
便	滂	先	陽	平	便	蒲綿切便便辯之詳也
蘚	心	先	陰	上	蘚	苔蘚
鮮	心	先	陰	上	蘚	少也
廯	心	先	陰	上	蘚	倉廪也
癬	心	先	陰	上	蘚	瘡也
洗	心	先	陰	上	蘚	人姓
跣	心	先	陰	上	蘚	跣足
銑	心	先	陰	上	蘚	金之有光澤者
毨	心	先	陰	上	蘚	毛落更生
燹	心	先	陰	上	蘚	兵火曰燹
尠	心	先	陰	上	蘚	少也
典	端	先	陰	上	典	法也又經典
顯	曉	先	陰	上	顯	明也揚也
遣	曉	先	陰	上	顯	逐也發也使也
譴	曉	先	陰	上	顯	怒也責也
繾	曉	先	陰	上	顯	繾綣
蜆	曉	先	陰	上	顯	蠕蜆
衍	以	先	陰	上	衍	延也寬也
演	以	先	陰	上	衍	布也又長也
兖	以	先	陰	上	衍	州名
偃	以	先	陰	上	衍	竹也偃息偃蹇
鰋	以	先	陰	上	衍	魚名
蝘	以	先	陰	上	衍	蝘蜓又蝘鼠
鶠	以	先	陰	上	衍	鳥名
堰	以	先	陰	上	衍	壅水
燕	以	先	陰	上	衍	鳥名
展	照	先	陰	上	展	舒展
輾	照	先	陰	上	展	轉之半曰輾
搌	照	先	陰	上	展	束㣫也
碾	照	先	陰	上	展	轢也又音研
闡	照	先	陰	上	展	發也
剪	精	先	陰	上	剪	裁也又較剪
翦	精	先	陰	上	剪	齊也截以殺也
謭	精	先	陰	上	剪	謭劣粗也陋也
戩	精	先	陰	上	剪	盡也
褊	幫	先	陰	上	褊	小也
惼	幫	先	陰	上	褊	急也
扁	幫	先	陰	上	褊	不員貌又脾扁
貶	幫	先	陰	上	褊	降官曰貶謫也損也
窆	幫	先	陰	上	褊	窀窆下棺也
繭	見	先	陰	上	繭	蚕繭
蠒	見	先	陰	上	繭	同上【繭】（蚕繭）
蹇	見	先	陰	上	繭	卦名屯蹇難也
淺	清	先	陰	上	淺	不深也
俴	清	先	陰	上	淺	淺也詩小戎俴收
臠	泥	先	陽	上	臠	奴典切一片肉塊也
腆	透	先	陽	上	腆	厚也
淟	透	先	陽	上	腆	淟忍垢濁也
㥏	透	先	陽	上	腆	心愧也又面慙也
覥	透	先	陽	上	腆	面慙貌
靦	透	先	陽	上	腆	同上【覥】（面慙貌）
餮	透	先	陽	上	腆	饕餮貪食也貪財曰饕貪食曰餮
殄	透	先	陽	上	腆	絕也
免	明	先	陽	上	免	罷也
勉	明	先	陽	上	免	勉力黽勉
俛	明	先	陽	上	免	俯也又與俯仰之俯同
冕	明	先	陽	上	免	冠也
㝃	明	先	陽	上	免	分㝃臨產謂之分㝃
娩	明	先	陽	上	免	同上【㝃】（分㝃臨產謂之分㝃）
愐	明	先	陽	上	免	思想貌
湎	明	先	陽	上	免	沉湎於酒
眄	明	先	陽	上	免	邪視
沔	明	先	陽	上	免	水溝也
勔	明	先	陽	上	免	勸勔
璉	來	先	陽	上	璉	瑚璉宗廟盛黍稷之器
摙	來	先	陽	上	璉	搬運也
唁	日	先	陽	上	唁	弔也弔失國曰唁
蟮	審	先	陽	上	蟮	白蟮
鱔	審	先	陽	上	蟮	同上【蟮】（白蟮）
單	審	先	陽	上	蟮	姓
線	心	先	陰	去	線	針線
先	心	先	陰	去	線	先之也
鏾	心	先	陰	去	線	閲也割也
霰	心	先	陰	去	線	雪之初凝也
薦	精	先	陰	去	薦	舉薦祭亦曰薦
荐	精	先	陰	去	薦	荐
洊	精	先	陰	去	薦	重復也
牮	精	先	陰	去	薦	屋釗用牮
箭	精	先	陰	去	薦	弓箭
餞	精	先	陰	去	薦	以酒食送行曰餞
濺	精	先	陰	去	薦	水激酒也
燕	以	先	陰	去	燕	燕飲又安也
醼	以	先	陰	去	燕	合飲也與燕同
讌	以	先	陰	去	燕	同上【醼】（合飲也與燕同）
俔	以	先	陰	去	燕	譬喻也詩俔天之妹
變	幫	先	陰	去	變	更也亂也化也
变	幫	先	陰	去	變	同上【變】（更也亂也化也）
徧	滂	先	陰	去	徧	週也廣也
遍	滂	先	陰	去	徧	同上【徧】（週也廣也）
片	滂	先	陰	去	徧	塊也又半也
騙	滂	先	陰	去	徧	誑騙
憲	曉	先	陰	去	憲	法度也又作顯
獻	曉	先	陰	去	憲	進也又文賢也
献	曉	先	陰	去	憲	同上【獻】（進也又文賢也）
讞	曉	先	陰	去	憲	議獄曰讞獄
巚	曉	先	陰	去	憲	山嶺
扇	審	先	陰	去	扇	紙扇又搖也
煽	審	先	陰	去	扇	熾也盛也
諞	審	先	陰	去	扇	以言語惑人也
搧	審	先	陰	去	扇	動也
見	見	先	陰	去	見	聞見
建	見	先	陰	去	見	建立
彥	日	先	陽	去	彥	美士
諺	日	先	陽	去	彥	俗語
硯	日	先	陽	去	彥	墨硯
倩	心	先	陽	去	倩	美男子又好口輔
蒨	心	先	陽	去	倩	草盛也
羡	心	先	陽	去	倩	餘也又貪也又稱羡
茜	心	先	陽	去	倩	草名可染紅者俗音僭茜
殿	端	先	陽	去	殿	天子之宮又軍後曰殿
奠	端	先	陽	去	殿	安也又置酒也
佃	端	先	陽	去	殿	治田也
甸	端	先	陽	去	殿	王者之都郊外曰甸
電	端	先	陽	去	殿	雷電
靛	端	先	陽	去	殿	染藍布用靛
蕈	端	先	陽	去	殿	竹席
善	審	先	陽	去	善	良善
膳	審	先	陽	去	善	具食
饍	審	先	陽	去	善	食也
繕	審	先	陽	去	善	治也修也
墡	審	先	陽	去	善	白墡上泥
㷽	審	先	陽	去	善	乾也炙也又焆也
擅	審	先	陽	去	善	專也
面	明	先	陽	去	面	頭面
麵	明	先	陽	去	面	麥麵
麺	明	先	陽	去	面	同上【麵】（麥麵）
便	幫	先	陽	去	便	方便安也利也
辨	幫	先	陽	去	便	分別也
辯	幫	先	陽	去	便	以言語辯白也
卞	幫	先	陽	去	便	姓
汴	幫	先	陽	去	便	地名
忭	幫	先	陽	去	便	欣喜也
弁	幫	先	陽	去	便	冠也又音盤
徤	見	先	陽	去	徤	強徤
健	見	先	陽	去	徤	同上【徤】（強徤）
件	見	先	陽	去	徤	物件
練	來	先	陽	去	練	練習又白色
煉	來	先	陽	去	練	煅煉
鍊	來	先	陽	去	練	鎖鍊又治金曰鍊
現	以	先	陽	去	現	現在
晛	以	先	陽	去	現	日氣也
莧	以	先	陽	去	現	菜名
戰	照	先	陰	去	戰	鬪戰又恐懼貌
賤	精	先	陽	去	賤	卑下也
屑	心	先	陰	入	屑	輕也潔也瑣碎也小也
竊	心	先	陰	入	屑	竊盜又私也
洩	心	先	陰	入	屑	漏也滲也
泄	心	先	陰	入	屑	狎也又音曳
絏	心	先	陰	入	屑	縲絏繫也以黑索抱繫罪人
紲	心	先	陰	入	屑	束縛也
契	心	先	陰	入	屑	舜臣名又闊也
褻	心	先	陰	入	屑	私狎也慢也瀆也
𤑔	心	先	陰	入	屑	燒焚也
燮	心	先	陰	入	屑	調和也理陰陽
暬	心	先	陰	入	屑	侍御
薛	心	先	陰	入	屑	國名又姓
揭	溪	先	陰	入	揭	借也又提揭又姓
竭	溪	先	陰	入	揭	盡也
碣	溪	先	陰	入	揭	碣石
詰	溪	先	陰	入	揭	盤詰
挈	溪	先	陰	入	揭	提挈
訐	溪	先	陰	入	揭	攻訐
孑	溪	先	陰	入	揭	獨立曰孑
襭	溪	先	陰	入	揭	以衣貯物執其袵也
頡	溪	先	陰	入	揭	頡頏飛而上曰頡
朅	溪	先	陰	入	揭	武壯貌
偈	溪	先	陰	入	揭	疾驅貌
必	幫	先	陰	入	必	決也定也
觱	幫	先	陰	入	必	風寒也又名笳羌人所吹以驚馬者
鱉	幫	先	陰	入	必	介魚
鼈	幫	先	陰	入	必	同上【鱉】（介魚）
鐵	透	先	陰	入	鐵	銅鐵
鉄	透	先	陰	入	鐵	同上【鐵】（銅鐵）
折	照	先	陰	入	折	損也耗也
哲	照	先	陰	入	折	明哲
喆	照	先	陰	入	折	同上【哲】（明哲）
浙	照	先	陰	入	折	浙江
蜇	照	先	陰	入	折	海蜇水母足
咽	以	先	陰	入	咽	吞也又哽咽
謁	以	先	陰	入	咽	見也訪也
噎	以	先	陰	入	咽	食氣噎塞不通也
潔	見	先	陰	入	潔	潔淨
絜	見	先	陰	入	潔	度也
結	見	先	陰	入	潔	結也又完也
袺	見	先	陰	入	潔	以衣貯物而執其袵也
設	穿	先	陰	入	設	置主也陳設也
轍	穿	先	陰	入	設	車輪
徹	穿	先	陰	入	設	通明也透也
撤	穿	先	陰	入	設	抽除也握也
節	精	先	陰	入	節	制也儉也符節時節
节	精	先	陰	入	節	同上【節】（制也儉也符節時節）
櫛	精	先	陰	入	節	櫛風沐雨
癤	精	先	陰	入	節	小瘡
歇	曉	先	陰	入	歇	休息也安也消報
蝎	曉	先	陰	入	歇	蟲名
跌	端	先	陰	入	跌	失足曰跌
切	清	先	陰	入	切	近也要也
撇	滂	先	陰	入	撇	篇八聲小擊也略也引也
撆	滂	先	陰	入	撇	同上【撇】（篇八聲小擊也略也引也）
瞥	滂	先	陰	入	撇	過目也瞥然暫見也
蹩	滂	先	陰	入	撇	跛也
列	來	先	陽	入	列	分布也行次也位序也
冽	來	先	陽	入	列	寒也潔也
烈	來	先	陽	入	列	火猛也又節烈俠烈
裂	來	先	陽	入	列	破也
桀	見	先	陽	入	桀	夏王名又才過人之稱
傑	見	先	陽	入	桀	豪傑才過萬人謂之傑
𪀾	見	先	陽	入	桀	𪀾鷔惡鳥
杰	見	先	陽	入	桀	盛也與傑同
迭	端	先	陽	入	迭	更也互也遞也代也
秩	端	先	陽	入	迭	職也爵也序也
帙	端	先	陽	入	迭	書衣也又書卷編次
軼	端	先	陽	入	迭	侵也突也車相出也又音逸
瓞	端	先	陽	入	迭	小瓜詩綿綿瓜瓞
垤	端	先	陽	入	迭	邱垤又蟻封
絰	端	先	陽	入	迭	喪服麻在首在腰皆曰絰
耋	端	先	陽	入	迭	八十曰耋
袠	端	先	陽	入	迭	簡袠
滅	明	先	陽	入	滅	息也盡也絶也沒也
烕	明	先	陽	入	滅	同上【滅】（息也盡也絶也沒也）
蔑	明	先	陽	入	滅	無也微也削也輕易也
篾	明	先	陽	入	滅	竹皮
截	精	先	陽	入	截	斷也止也
捷	精	先	陽	入	截	勝也敏疾也報勝曰捷報
熱	日	先	陽	入	熱	炎熱
热	日	先	陽	入	熱	同上【熱】（炎熱）
孼	日	先	陽	入	熱	庶出之子曰孼子
櫱	日	先	陽	入	熱	木伐而抿再生芽曰櫱
臬	日	先	陽	入	熱	門橛也又臬司
闑	日	先	陽	入	熱	同上【臬】（門橛也又臬司）
臲	日	先	陽	入	熱	臲卼不安貌
齧	我	先	陽	入	齧	去噬水也
囓	我	先	陽	入	齧	同上銀別切(去噬水也）
別	幫	先	陽	入	別	離別辨別
舌	審	先	陽	入	舌	口舌
威	云	威	陰	平	威	威儀又嚴也
葳	云	威	陰	平	威	葳蕤謂草木葳結而生
輝	非	威	陰	平	輝	光輝
煇	非	威	陰	平	輝	火光也
暉	非	威	陰	平	輝	日光
揮	非	威	陰	平	輝	指揮發揮又揮霍
麾	非	威	陰	平	輝	驅也旌旗所以指揮
翬	非	威	陰	平	輝	雉也
撝	非	威	陰	平	輝	指也又發揮
虧	非	威	陰	平	輝	欠缺也
隳	非	威	陰	平	輝	敗也
徽	非	威	陰	平	輝	美也
歸	古	威	陰	平	歸	還也止也服也
㱕	古	威	陰	平	歸	同上【歸】（還也止也服也）
皈	古	威	陰	平	歸	皈依
奎	古	威	陰	平	歸	宿名
珪	古	威	陰	平	歸	美玉
圭	古	威	陰	平	歸	上員下方封國則以爲信
閨	古	威	陰	平	歸	宮中門也
龜	古	威	陰	平	歸	所以卜也
龟	古	威	陰	平	歸	同上【龜】（所以卜也）
嬀	古	威	陰	平	歸	水名又姓
潙	古	威	陰	平	歸	同上【嬀】（水名又姓）
刲	古	威	陰	平	歸	剌也割也
躋	精	威	陰	平	躋	登也升也
劑	精	威	陰	平	躋	調劑又劑量
隮	精	威	陰	平	躋	惡氣上升也
穧	精	威	陰	平	躋	刈禾把數也束也
擠	精	威	陰	平	躋	排也推也
齎	精	威	陰	平	躋	送也行道所用也
𧅱	精	威	陰	平	躋	薑蒜爲之又碎也和也
賷	精	威	陰	平	躋	持送曰賷詔是也
溪	溪	威	陰	平	溪	河也水澗
谿	溪	威	陰	平	溪	川水
蹊	溪	威	陰	平	溪	小路
稽	溪	威	陰	平	溪	稽考又下拜首至地
嵇	溪	威	陰	平	溪	山名又姓
妻	清	威	陰	平	妻	夫妻
悽	清	威	陰	平	妻	悲也
凄	清	威	陰	平	妻	寒也又凄凉
棲	清	威	陰	平	妻	棲息又牀也
栖	清	威	陰	平	妻	依也宿也
恓	清	威	陰	平	妻	惶懼也
萋	清	威	陰	平	妻	草盛
緀	清	威	陰	平	妻	緀裴文章相錯貌
規	困	威	陰	平	規	規矩爲員之器也
窺	困	威	陰	平	規	竊視也
闚	困	威	陰	平	規	傾頭門邪視也
盔	困	威	陰	平	規	戰士頭所戴者
西	心	威	陰	平	西	東西
粞	心	威	陰	平	西	碎米
犀	心	威	陰	平	西	犀牛
樨	心	威	陰	平	西	木樨花
荽	心	威	陰	平	西	芫荽
撕	心	威	陰	平	西	提撕
嘶	心	威	陰	平	西	馬鳴
雞	見	威	陰	平	雞	禽名
鷄	見	威	陰	平	雞	同上【雞】（禽名）
笄	見	威	陰	平	雞	簪也女子年十五而笄
枅	見	威	陰	平	雞	柱上橫木承棟者
低	端	威	陰	平	低	卑也高低
氐	端	威	陰	平	低	宿名
羝	端	威	陰	平	低	牝羊
隄	端	威	陰	平	低	岸也水防也
堤	端	威	陰	平	低	塞也滯也
鞮	端	威	陰	平	低	革履也又音提
梯	透	威	陰	平	梯	階梯
稊	透	威	陰	平	梯	木之更生也
篩	審	威	陰	平	篩	篩箕
批	滂	威	陰	平	批	判也示也
㧗	滂	威	陰	平	批	同上【批】（判也示也）
砒	滂	威	陰	平	批	砒霜
篦	幫	威	陰	平	篦	竹篦北揮切
鎞	幫	威	陰	平	篦	釵鎞
跛	幫	威	陰	平	篦	足偏廢行不正也
爲	云	威	陽	平	爲	作事曰爲
惟	云	威	陽	平	爲	獨也謀也思也
唯	云	威	陽	平	爲	獨也又音委
帷	云	威	陽	平	爲	帳幔也
幃	云	威	陽	平	爲	同上【帷】（帳幔也）
維	云	威	陽	平	爲	係也又四維方隅也
濰	云	威	陽	平	爲	水名又姓
違	云	威	陽	平	爲	背也避也
圍	云	威	陽	平	爲	環也又範圍又九圍
闈	云	威	陽	平	爲	宮闈又試塲
韋	云	威	陽	平	爲	柔革也性急則佩韋
遺	云	威	陽	平	爲	忘也失也又餘也又餽贈
壝	云	威	陽	平	爲	壇壝
桅	云	威	陽	平	爲	桅行
危	我	威	陽	平	危	險也懼也又宿名
倪	我	威	陽	平	危	端倪頭緒也又姓
麑	我	威	陽	平	危	鹿子
霓	我	威	陽	平	危	虹霓
輗	我	威	陽	平	危	轅端橫木大車所用
巍	我	威	陽	平	危	高大貌
嵬	我	威	陽	平	危	同上【巍】（高大貌）
題	透	威	陽	平	題	品題又琁題又額也
提	透	威	陽	平	題	挈也抱也舉也
褆	透	威	陽	平	題	衣厚也
騠	透	威	陽	平	題	駿馬
瑅	透	威	陽	平	題	玉名
睼	透	威	陽	平	題	迎視也
緹	透	威	陽	平	題	白赤色
荑	透	威	陽	平	題	茅之始生曰荑
啼	透	威	陽	平	題	啼哭
蹄	透	威	陽	平	題	獸足曰蹄
綈	透	威	陽	平	題	綈也
鵜	透	威	陽	平	題	水鳥
䨑	透	威	陽	平	題	䨑霽
鮧	透	威	陽	平	題	大鮎魚名
鴺	透	威	陽	平	題	山雞
黎	來	威	陽	平	黎	衆也又黑也又姓
藜	來	威	陽	平	黎	蒺藜
犂	來	威	陽	平	黎	耕田之器
犁	來	威	陽	平	黎	同上【犂】（耕田之器）
迷	明	威	陽	平	迷	昏迷又亂也
埋	明	威	陽	平	迷	藏也瘞也
霾	明	威	陽	平	迷	雨土蒙霧也
奚	曉	威	陽	平	奚	何也
徯	曉	威	陽	平	奚	待也
兮	曉	威	陽	平	奚	語詞
鼷	曉	威	陽	平	奚	小鼠春秋鼷鼠食郊牛角
坭	泥	威	陽	平	坭	泥土
泥	泥	威	陽	平	坭	同上【坭】（泥土）
齊	清	威	陽	平	齊	整齊不參差也又國名
蠐	清	威	陽	平	齊	螬蠐蟲名
葵	困	威	陽	平	葵	葵花
攜	困	威	陽	平	葵	攜手
畦	困	威	陽	平	葵	治田
觿	困	威	陽	平	葵	角銳可解結者詩童子佩觿
携	困	威	陽	平	葵	與攜同
偉	云	威	陰	上	偉	大也奇也
葦	云	威	陰	上	偉	蘆葦
煒	云	威	陰	上	偉	盛赤也光明也
緯	云	威	陰	上	偉	經緯橫曰經直曰緯
瑋	云	威	陰	上	偉	瑰瑋美玉也
韡	云	威	陰	上	偉	華盛貌又光明也
韙	云	威	陰	上	偉	是也
喟	云	威	陰	上	偉	歎聲
唯	云	威	陰	上	偉	應之速也
卉	云	威	陰	上	偉	草木總名
委	云	威	陰	上	偉	委曲委任委靡委積委隨又差委
諉	云	威	陰	上	偉	推諉
萎	云	威	陰	上	偉	草木總名
痿	云	威	陰	上	偉	痿痹
毁	云	威	陰	上	偉	毀壞毀謗
燬	云	威	陰	上	偉	火燒壞也
虺	云	威	陰	上	偉	虺蛇又仲虺湯之臣也又音灰詩我馬虺尵
洗	心	威	陰	上	洗	洗浴又音冼
洒	心	威	陰	上	洗	雪其恥也
枲	心	威	陰	上	洗	卷耳菜名麻屬
底	端	威	陰	上	底	平也定也致也又底木
砥	端	威	陰	上	底	礪石
弤	端	威	陰	上	底	天子之彫弓
詆	端	威	陰	上	底	毀也又音低
抵	端	威	陰	上	底	抵尼又致也
柢	端	威	陰	上	底	根柢本也
邸	端	威	陰	上	底	客舍
鬼	古	威	陰	上	鬼	鬼神陰之靈也
簋	古	威	陰	上	鬼	宗廟盛黍稷之器
軌	古	威	陰	上	鬼	法也又車之跡
匭	古	威	陰	上	鬼	匣也函也
詭	古	威	陰	上	鬼	異也詐也戾也
垝	古	威	陰	上	鬼	壞也
宄	古	威	陰	上	鬼	士宄在外曰宄在内曰奸
晷	古	威	陰	上	鬼	日影也又姓
體	透	威	陰	上	體	身體質也又體道
体	透	威	陰	上	體	同上【體】（身體質也又體道）
啓	溪	威	陰	上	啓	開也發也又書啓
綮	溪	威	陰	上	啓	支戟也又肯綮筋肉結處
棨	溪	威	陰	上	啓	木名
仔	精	威	陰	上	仔	兒子也又仔肩
矮	亞	威	陰	上	矮	不高也
使	審	威	陰	上	使	深底切使唤
睨	我	威	陽	上	睨	邪視
蟻	我	威	陽	上	睨	蛾蟻
艤	我	威	陽	上	睨	船名
揆	困	威	陽	上	揆	度也又百揆官也
睽	困	威	陽	上	揆	乖異也又違別
跬	困	威	陽	上	揆	舉足半步也
禮	來	威	陽	上	禮	禮儀
醴	來	威	陽	上	禮	甘酒
澧	來	威	陽	上	禮	水名
泚	清	威	陽	上	泚	汗出貌
薺	清	威	陽	上	泚	甘菜
睥	滂	威	陽	上	睥	睥睨竊視欲奪之也
米	明	威	陽	上	米	穀米
芈	明	威	陽	上	米	楚姓
娣	透	威	陽	上	娣	兄弟之妻曰娣從妻而歸亦曰娣
畏	云	威	陰	去	畏	懼也敬也
慰	云	威	陰	去	畏	安慰
尉	云	威	陰	去	畏	太尉官名侯也
蔚	云	威	陰	去	畏	草名
穢	云	威	陰	去	畏	污穢又蕪穢又雜蘼
濊	云	威	陰	去	畏	汪濊深廣之貌
翽	云	威	陰	去	畏	羽聲
薈	云	威	陰	去	畏	草盛
噦	云	威	陰	去	畏	車聲徐行有節也又室深廣也
計	見	威	陰	去	計	謀也數也
繼	見	威	陰	去	計	續也紹也
繫	見	威	陰	去	計	結也束縛也
薊	見	威	陰	去	計	地名
髻	見	威	陰	去	計	束髮爲髻
閉	幫	威	陰	去	閉	閉塞
蔽	幫	威	陰	去	閉	遮隔也
貱	幫	威	陰	去	閉	益也移此以與彼也
縊	亞	威	陰	去	縊	懸樑自縊
翳	亞	威	陰	去	縊	障翳
曀	亞	威	陰	去	縊	隂而風也
祭	精	威	陰	去	祭	祀也薦也
際	精	威	陰	去	祭	交會也又邊畔也
穄	精	威	陰	去	祭	谷也似黍而小
濟	精	威	陰	去	祭	周濟又通也
霽	精	威	陰	去	祭	雨止而日光也
懠	精	威	陰	去	祭	怒也
替	透	威	陰	去	替	代也又衰也
涕	透	威	陰	去	替	泣涕
剃	透	威	陰	去	替	剃頭
締	透	威	陰	去	替	結而不解也
揥	透	威	陰	去	替	所以摘髮
嚏	透	威	陰	去	替	人之傷風鬱氣而成也
鬀	透	威	陰	去	替	削髮也
廢	非	威	陰	去	廢	絕也棄也
諱	非	威	陰	去	廢	忌諱又護短曰諱又名也生曰名死曰諱
肺	非	威	陰	去	廢	肺肺肝
芾	非	威	陰	去	廢	蔽芾木盛也
費	非	威	陰	去	廢	費用又姓
沸	非	威	陰	去	廢	火煮水滚又泉湧出曰沸
世	審	威	陰	去	世	代也三十年爲一世
貰	審	威	陰	去	世	貸也恕也
勢	審	威	陰	去	世	權力也
势	審	威	陰	去	世	同上【勢】（權力也）
砌	清	威	陰	去	砌	堦基也
切	清	威	陰	去	砌	齊也衆也
妻	清	威	陰	去	砌	以女嫁人曰妻
細	心	威	陰	去	細	小也微也密也
壻	心	威	陰	去	細	女之夫曰壻
貴	古	威	陰	去	貴	富貴在尊位也
僓	古	威	陰	去	貴	心亂也又音頽
悸	古	威	陰	去	貴	帶下垂也又心動也
